Card Name,Rarity,Number,Price,Market Price,Listing Count,Mention Count
"Nouvelles Restaurant ""At Table""",Ultra Rare,#WISU-EN035,$4.26,$5.88,95,1
Stake your Soul! (CR),Collector's Rare,#WISU-EN023,$64.82,$73.31,40,0
Pressured Planet Wraitsoth,Secret Rare,#PHHY-EN059,$16.79,$21.68,120,0
Accel Synchro Stardust Dragon,Ultra Rare,#MAZE-EN019,$33.95,$34.28,129,0
Vanquish Soul Caesar Valius (CR),Collector's Rare,#WISU-EN021,$70.00,$80.31,21,0
Ohime the Manifested Mikanko,Ultra Rare,#AMDE-EN027,$21.37,$22.79,46,0
Vanquish Soul Heavy Borger (CR),Collector's Rare,#WISU-EN018,$63.00,$75.42,29,0
Fossil Dig (CR),Collector's Rare,#WISU-EN055,$60.28,$61.50,25,0
Divine Arsenal AA-ZEUS - Sky Thunder,Ultra Rare,#MP21-EN195,$12.75,$13.81,123,32
Ultimate Conductor Tyranno (CR),Collector's Rare,#WISU-EN009,$62.00,$64.34,22,0
Visas Starfrost,Secret Rare,#DIFO-EN008,$23.95,$25.75,55,2
Souleating Oviraptor (CR),Collector's Rare,#WISU-EN012,$63.27,$64.56,30,0
Divine Arsenal AA-ZEUS - Sky Thunder,Secret Rare,#BLMR-EN084,$10.39,$11.37,32,32
Red-Eyes Dark Dragoon,Prismatic Secret Rare,#MP22-EN264,$11.22,$17.01,119,9
Rescue-ACE Hydrant,Ultra Rare,#AMDE-EN004,$20.50,$24.22,49,0
Visas Starfrost (Starlight Rare),Starlight Rare,#CYAC-EN100,$300.00,$224.07,4,0
Triple Tactics Talent,Ultra Rare,#MAMA-EN090,$14.30,$15.35,95,12
Lady Labrynth of the Silver Castle,Secret Rare,#DABL-EN030,$27.49,$26.71,46,1
Kashtira Fenrir,Ultimate Rare,#OP21-EN003,$48.00,$53.13,50,6
There Can Be Only One (CR),Collector's Rare,#WISU-EN060,$58.98,$65.12,32,0
Diviner of the Herald,Prismatic Secret Rare,#MP22-EN056,$7.49,$7.96,109,4
Spright Blue,Ultimate Rare,#OP21-EN001,$35.00,$37.46,42,2
"Therion ""King"" Regulus",Secret Rare,#DIFO-EN007,$26.69,$29.50,125,2
Mikanko Water Arabesque,Ultra Rare,#AMDE-EN032,$14.44,$15.54,12,0
Accesscode Talker,Secret Rare,#BLCR-EN093,$28.00,$29.74,79,18
Hugin the Runick Wings,Ultra Rare,#TAMA-EN037,$11.31,$13.09,59,0
Small World,Prismatic Secret Rare,#MP22-EN225,$6.49,$6.34,106,4
Despian Luluwalilith,Secret Rare,#CYAC-EN042,$13.80,$16.57,184,1
Noh-P.U.N.K. Foxy Tune,Secret Rare,#BLMR-EN063,$2.99,$4.53,42,2
Droll & Lock Bird,Rare,#TAMA-EN047,$2.49,$3.06,143,16
Illusion of Chaos,Secret Rare,#BACH-EN034,$29.57,$29.53,64,0
Arianna the Labrynth Servant,Ultra Rare,#TAMA-EN017,$14.69,$16.83,48,0
Blue-Eyes White Dragon,Ultra Rare,#SDK-001,$3.34,$32.99,271,18
Crossout Designator,Ultra Rare,#MP21-EN258,$9.50,$9.75,111,8
Muckraker From the Underworld,Secret Rare,#DABL-EN051,$16.95,$20.19,28,0
Primeval Planet Perlereino,Secret Rare,#POTE-EN060,$18.60,$18.22,116,0
Ash Blossom & Joyous Spring,Prismatic Secret Rare,#MP22-EN257,$7.99,$9.43,183,88
Ten Thousand Dragon,10000 Secret Rare,#BLAR-EN10K,"$1,049.99","$1,219.24",18,1
"Ringowurm, the Dragon Guarding the Hundred Apples",Ultra Rare,#CYAC-EN029,$11.00,$11.96,90,1
Kashtiratheosis,Secret Rare,#PHHY-EN058,$11.82,$15.08,133,0
Psychic End Punisher,Secret Rare,#DIFO-EN043,$18.00,$22.46,81,0
Super Polymerization,Secret Rare,#BLMR-EN089,$2.18,$2.65,50,35
Accesscode Talker,Premium Gold Rare,#MGED-EN037,$27.99,$31.09,74,18
Bystial Dis Pater,Ultra Rare,#CYAC-EN041,$9.00,$11.30,103,0
Gold Pride - Better Luck Next Time!,Secret Rare,#CYAC-EN091,$8.99,$10.51,97,0
Ash Blossom & Joyous Spring,Common / Short Print,#SDCB-EN014,$3.69,$3.93,85,88
Mannadium Riumheart,Ultra Rare,#CYAC-EN012,$5.49,$8.08,106,0
Albion the Sanctifire Dragon,Secret Rare,#CYAC-EN035,$9.48,$11.97,126,2
Purrely,Ultra Rare,#AMDE-EN013,$15.00,$17.87,106,7
Baronne de Fleur,Ultra Rare,#LED8-EN024,$50.76,$51.25,55,2
Hungry Burger (CR),Collector's Rare,#WISU-EN041,$45.50,$45.75,38,0
"Nibiru, the Primal Being",Ultra Rare,#MP22-EN261,$3.50,$3.87,147,25
Water Enchantress of the Temple,Secret Rare,#BLMR-EN065,$2.99,$3.66,39,3
Pot of Prosperity,Secret Rare,#BLVO-EN065,$38.00,$47.69,40,10
"Garura, Wings of Resonant Life",Ultra Rare,#POTE-EN082,$14.73,$15.08,93,1
Forbidden Droplet,Prismatic Secret Rare,#MP22-EN254,$12.50,$12.93,147,10
Vanquish Soul Caesar Valius,Ultra Rare,#WISU-EN021,$2.99,$3.61,101,0
Exodia the Forbidden One (Starlight Rare),Starlight Rare,#BLCR-EN101,$434.69,$579.45,26,0
Runick Fountain,Ultra Rare,#TAMA-EN027,$9.64,$10.33,97,0
Nadir Servant,Ultra Rare,#MP21-EN135,$5.87,$6.99,110,4
Spright Sprind,Secret Rare,#DABL-EN048,$11.00,$14.35,65,0
Sky Striker Mobilize - Linkage!,Ultra Rare,#MAMA-EN003,$3.95,$4.56,106,0
Triple Tactics Talent (Starlight Rare),Starlight Rare,#ROTD-EN062,$750.76,$704.25,14,0
"Gameciel, the Sea Turtle Kaiju",Ultra Rare,#DUDE-EN037,$6.95,$9.84,61,3
Rite of Aramesir,Ultra Rare,#GRCR-EN025,$13.98,$11.93,84,2
Infinite Impermanence,Ultra Rare,#MAMA-EN100,$10.92,$11.87,111,84
Fateful Adventure,Ultra Rare,#GRCR-EN029,$7.50,$7.94,34,0
"Nouvelles Restaurant ""At Table"" (CR)",Collector's Rare,#WISU-EN035,$27.99,$30.05,39,0
Lightning Storm,Prismatic Secret Rare,#MP22-EN253,$9.10,$8.71,135,20
Xeno Meteorus (CR),Collector's Rare,#WISU-EN001,$39.00,$41.15,44,0
Lightning Storm,Ultra Rare,#MAMA-EN089,$8.41,$8.72,125,20
Evenly Matched,Super Rare,#SDBT-EN038,$4.00,$4.73,105,60
"Denglong, First of the Yang Zing",Ultra Rare,#INOV-EN048,$12.25,$14.09,108,0
Tearlaments Kashtira,Ultra Rare,#PHHY-EN008,$6.50,$7.84,133,0
Aromaseraphy Jasmine,Ultra Rare,#DUPO-EN029,$16.39,$16.29,43,2
"Guiding Quem, the Virtuous (Starlight Rare)",Starlight Rare,#CYAC-EN011,$250.00,$289.05,32,0
Dark Magician Girl (Ghost Rare),Ghost Rare,#GFP2-EN177,$180.00,$188.26,48,0
Ash Blossom & Joyous Spring,Common / Short Print,#SDBT-EN014,$3.65,$4.23,81,88
Animadorned Archosaur (CR),Collector's Rare,#WISU-EN050,$35.97,$37.75,42,0
Rescue-ACE Turbulence,Ultra Rare,#AMDE-EN007,$9.94,$10.85,48,0
Floowandereeze and the Advent of Adventure,Ultra Rare,#BACH-EN060,$13.06,$12.08,48,0
Blue-Eyes Jet Dragon,Secret Rare,#BACH-EN004,$20.78,$24.85,65,1
Triple Tactics Talent,Secret Rare,#ROTD-EN062,$39.99,$59.12,37,12
Terraforming,Secret Rare,#BLMR-EN087,$1.40,$1.73,37,12
Big Welcome Labrynth,Ultra Rare,#PHHY-EN077,$4.16,$6.23,107,0
Vicious Astraloud,Secret Rare,#CYAC-EN036,$6.45,$8.20,127,0
Purrely Pretty Memory,Ultra Rare,#AMDE-EN022,$10.10,$12.78,98,1
Patissciel Couverture (Starlight Rare),Starlight Rare,#DIFO-EN083,$70.00,$78.46,25,0
Dark Magician,Ultra Rare,#SDY-006,$0.74,$25.59,282,105
Magicians' Souls,Secret Rare,#BROL-EN066,$23.98,$27.36,55,12
Blue-Eyes White Dragon (Quarter Century Secret Rare),Quarter Century Secret Rare,#LC01-EN004,$12.75,$14.64,117,0
My Friend Purrely,Ultra Rare,#AMDE-EN020,$11.50,$13.13,137,1
Sky Striker Ace - Raye,Ultimate Rare,#OP20-EN002,$25.00,$38.33,87,1
Baronne de Fleur (CR),Collector's Rare,#MAZE-EN051,$185.00,$239.51,41,0
Gold Pride - Leon,Secret Rare,#PHHY-EN086,$8.00,$9.83,92,0
Number 90: Galaxy-Eyes Photon Lord,Secret Rare,#BLRR-EN033,$43.99,$50.80,34,0
I:P Masquerena (Quarter Century Secret Rare),Quarter Century Secret Rare,#BLMR-EN085,$285.94,$292.76,28,0
Ultimate Slayer,Secret Rare,#POTE-EN067,$15.48,$16.58,119,3
Blue-Eyes White Dragon (Ghost Rare),Ghost Rare,#GFP2-EN175,$140.00,$165.85,41,0
Kashtira Arise-Heart (Starlight Rare),Starlight Rare,#PHHY-EN046,$170.99,$172.86,29,0
Bystial Druiswurm,Super Rare,#DABL-EN008,$2.99,$3.96,181,1
Despian Luluwalilith (Starlight Rare),Starlight Rare,#CYAC-EN042,$190.00,$225.01,23,0
Crossout Designator,Prismatic Secret Rare,#MP22-EN265,$8.80,$10.11,68,8
Sky Striker Mobilize - Engage!,Secret Rare,#BLMR-EN091,$6.18,$7.22,95,2
Firewall Defenser,Ultra Rare,#CYAC-EN001,$3.57,$5.22,138,0
Judgment Dragon,Ultimate Rare,#TU01-EN000,$194.99,$432.01,34,2
Gimmick Puppet Nightmare,Super Rare,#NUMH-EN009,$17.00,$18.78,34,2
Time-Tearing Morganite,Super Rare,#CYAC-EN067,$2.43,$3.05,181,0
Granguignol the Dusk Dragon,Ultra Rare,#PHHY-EN033,$5.75,$7.25,111,3
"Chaos Emperor, the Dragon of Armageddon",Secret Rare,#BLAR-EN051,$71.40,$73.53,24,0
I:P Masquerena,Secret Rare,#BLMR-EN085,$2.79,$3.25,104,8
Infinite Impermanence,Secret Rare,#FLOD-EN077,$44.95,$56.56,46,84
Gold Pride - Roller Baller,Secret Rare,#CYAC-EN086,$6.49,$6.86,128,0
Accel Synchro Stardust Dragon (CR),Collector's Rare,#MAZE-EN019,$120.00,$137.26,37,0
Water Enchantress of the Temple,Ultimate Rare,#OP19-EN002,$26.95,$30.16,67,3
Mirrorjade the Iceblade Dragon (Starlight Rare),Starlight Rare,#PHHY-EN100,$349.97,$355.87,22,0
Sky Striker Ace - Kagari,Ultimate Rare,#OP08-EN002,$125.00,$177.33,43,0
Tearlaments Reinoheart,Ultimate Rare,#OP21-EN002,$17.00,$18.81,55,0
Vanquish Soul Pantera,Ultra Rare,#WISU-EN017,$1.95,$2.55,157,0
Sky Striker Mobilize - Engage! (Quarter Century Secret Rare),Quarter Century Secret Rare,#BLMR-EN091,$240.94,$277.89,32,0
Icejade Ran Aegirine,Ultra Rare,#CYAC-EN010,$3.91,$5.16,28,0
Borreload Savage Dragon,Secret Rare,#BLCR-EN083,$11.40,$11.12,103,4
Rite of Aramesir (CR),Collector's Rare,#GRCR-EN025,$77.99,$107.35,42,0
Welcome Labrynth (Quarter Century Secret Rare),Quarter Century Secret Rare,#BLMR-EN102,$92.00,$119.47,28,0
Xeno Meteorus,Super Rare,#WISU-EN001,$0.50,$0.90,115,0
Effect Veiler (Starlight Rare),Starlight Rare,#ETCO-EN100,$471.99,$743.12,20,0
Ha-Re the Sword Mikanko (CR),Collector's Rare,#AMDE-EN025,$73.04,$60.40,3,0
Swordsoul of Mo Ye,Ultra Rare,#MAMA-EN034,$6.40,$5.78,113,0
"Apollousa, Bow of the Goddess (Starlight Rare)",Starlight Rare,#RIRA-EN048,"$1,250.00","$1,430.18",21,0
"Chiwen, Light of the Yang Zing",Ultra Rare,#MP15-EN087,$18.99,$23.81,23,0
Spright Starter,Ultra Rare,#POTE-EN055,$6.25,$5.79,128,0
Arianna the Labrynth Servant (CR),Collector's Rare,#TAMA-EN017,$76.81,$77.15,21,0
Solemn Judgment,Super Rare,#MAZE-EN063,$1.99,$3.06,248,24
Fire Formation - Tenki (CR),Collector's Rare,#WISU-EN028,$24.99,$31.24,57,0
"Dogoran, the Mad Flame Kaiju (Secret Rare)",Secret Rare,#SGX2-ENC08,$4.44,$4.70,25,0
Shadow's Light,Secret Rare,#BLMR-EN037,$1.44,$1.71,109,2
Welcome Labrynth,Secret Rare,#BLMR-EN102,$2.95,$3.80,74,2
Rescue-ACE Hydrant (CR),Collector's Rare,#AMDE-EN004,$88.90,$66.25,9,0
Dark Magician Girl (Secret Pharaoh's Rare),Secret Pharaoh’s Rare,#MAMA-EN107,$548.89,$529.03,14,0
Danger! Nessie!,Secret Rare,#BLMR-EN059,$0.90,$1.44,57,8
Cyber Dragon (UTR),Ultimate Rare,#CRV-EN015,$107.11,$652.04,36,0
Evilswarm Exciton Knight,Ultra Rare,#BLLR-EN068,$7.84,$8.29,68,9
Dark Paladin,Secret Rare,#DMG-001,$3.99,$51.14,77,0
Dark Magician,Ultra Rare,#25TH-EN001,$65.00,$84.44,52,105
Guardian Chimera,Ultra Rare,#MAZE-EN049,$6.95,$7.43,164,6
Evenly Matched,Ultra Rare,#MAMA-EN099,$5.15,$6.24,210,60
Lady Labrynth of the Silver Castle (Quarter Century Secret Rare),Quarter Century Secret Rare,#BLMR-EN104,$137.44,$155.56,24,0
Drytron Nova,Ultra Rare,#GEIM-EN033,$10.00,$14.44,64,0
"Aussa the Earth Charmer, Immovable (Starlight Rare)",Starlight Rare,#IGAS-EN048,$160.99,$224.35,46,0
Snowdrop the Rikka Fairy,Super Rare,#SESL-EN019,$14.45,$14.86,37,0
Noh-P.U.N.K. Foxy Tune,Ultra Rare,#GRCR-EN005,$7.75,$9.51,98,2
"Rex, Freight Fur Hire",Super Rare,#DABL-EN027,$2.00,$2.92,42,0
Scareclaw Reichheart,Ultra Rare,#DIFO-EN012,$4.00,$6.85,129,0
Trap Dustshoot,Common / Short Print,#PGD-049,$4.21,$12.25,177,0
"Apollousa, Bow of the Goddess",Ultra Rare,#MAMA-EN075,$5.35,$4.90,125,9
Magicians' Souls,Ultra Rare,#LDS3-EN088,$23.88,$23.65,54,12
Forbidden Droplet,Ultra Rare,#LED9-EN056,$14.75,$19.89,111,10
"Chiwen, Light of the Yang Zing",Ultra Rare,#DUEA-EN032,$19.00,$22.04,33,0
Live Twin Lil-la (CR),Collector's Rare,#GEIM-EN014,$62.00,$69.98,18,0
Ash Blossom & Joyous Spring,Ultra Rare,#DUDE-EN003,$6.44,$9.66,150,88
Accesscode Talker (Starlight Rare),Starlight Rare,#BLCR-EN093,$375.00,$475.24,33,0
Wake Up Your Elemental HERO,Ultra Rare,#MAZE-EN014,$5.49,$6.00,120,0
Purrely (CR),Collector's Rare,#AMDE-EN013,$85.50,$102.47,49,0
Aluber the Jester of Despia,Ultimate Rare,#OP20-EN003,$21.98,$23.94,65,9
Santa Claws,Gold Secret Rare,#PGL2-EN021,$4.98,$10.95,115,0
Gigantic Spright,Ultra Rare,#POTE-EN047,$3.50,$4.98,89,0
Clockwork Night,Secret Rare,#BLCR-EN007,$4.00,$5.46,134,0
"Blazing Cartesia, the Virtuous (Starlight Rare)",Starlight Rare,#DABL-EN011,$255.00,$287.47,17,0
Grave of the Super Ancient Organism,Super Rare,#OP20-EN012,$2.36,$2.98,44,0
"Nibiru, the Primal Being",Ultimate Rare,#OP14-EN003,$139.99,$173.39,46,25
Granguignol the Dusk Dragon (Starlight Rare),Starlight Rare,#PHHY-EN033,$249.85,$250.18,16,0
Machine Duplication (UTR),Ultimate Rare,#RDS-EN041,$12.48,$58.93,123,0
I:P Masquerena (Alternate Art),Premium Gold Rare,#MGED-EN035,$10.00,$12.10,80,0
Worldsea Dragon Zealantis,Secret Rare,#DABL-EN050,$6.45,$6.58,119,0
Lady Labrynth of the Silver Castle (Starlight Rare),Starlight Rare,#DABL-EN030,$259.00,$275.96,13,0
Welcome Labrynth,Ultra Rare,#TAMA-EN023,$4.50,$6.79,138,2
Red-Eyes Dark Dragoon,Starlight Rare,#BROL-EN094,$289.95,$311.28,39,9
Ultimate Offering,Super Rare,#CP04-EN002,$59.95,$103.73,5,0
Firewall Dragon Singularity (Starlight Rare),Starlight Rare,#CYAC-EN047,$79.99,$98.95,56,0
The Dark Magicians,Secret Rare,#LDS3-EN090,$7.23,$7.38,126,1
Ash Blossom & Joyous Spring,Secret Rare,#MACR-EN036,$16.98,$37.31,102,88
Tearlaments Rulkallos (Starlight Rare),Starlight Rare,#DABL-EN039,$165.00,$166.28,17,0
Substitoad,Rare,#LODT-EN028,$14.93,$21.83,82,0
Fateful Adventure (CR),Collector's Rare,#GRCR-EN029,$38.01,$35.13,14,0
Swordsoul Grandmaster - Chixiao (Starlight Rare),Starlight Rare,#BODE-EN041,$161.66,$178.18,12,0
Fallen of Albaz,Ultimate Rare,#OP19-EN001,$15.50,$30.94,58,24
Ghost Belle & Haunted Mansion (Starlight Rare),Starlight Rare,#DIFO-EN100,$299.99,$265.84,25,0
Swordsoul Emergence,Ultra Rare,#MAMA-EN041,$3.60,$4.26,100,0
Red-Eyes B. Dragon,Secret Rare,#BPT-005,$7.86,$99.27,79,0
Branded Opening,Prismatic Secret Rare,#MP22-EN155,$2.24,$3.17,172,6
Dark Magician (Quarter Century Secret Rare),Quarter Century Secret Rare,#LC01-EN005,$9.15,$8.93,104,0
PSY-Framegear Epsilon,Common / Short Print,#HSRD-EN033,$3.00,$4.20,9,0
Slifer the Sky Dragon (Quarter Century Secret Rare),Quarter Century Secret Rare,#LC01-EN002,$8.33,$9.76,79,0
Herald of the Arc Light,Ultra Rare,#BLHR-EN085,$4.48,$6.69,40,4
I:P Masquerena,Premium Gold Rare,#MGED-EN035,$7.98,$10.10,93,8
Sky Striker Ace - Shizuku,Ultimate Rare,#OP09-EN003,$109.91,$156.68,41,0
Kashtira Arise-Heart,Secret Rare,#PHHY-EN046,$3.70,$4.83,184,0
Infinite Impermanence,Ultimate Rare,#OP17-EN002,$149.99,$224.30,38,84
Dark Magician,Secret Rare,#BPT-001,$12.00,$111.89,89,105
Water Enchantress of the Temple,Ultra Rare,#GRCR-EN026,$4.00,$6.53,117,3
Ghost Belle & Haunted Mansion,Prismatic Secret Rare,#MP22-EN258,$2.25,$2.98,146,3
Black Brutdrago,Super Rare,#SOVR-EN043,$24.99,$11.33,13,0
Super Polymerization,Ultimate Rare,#OP14-EN001,$67.98,$83.38,53,35
Evenly Matched,Secret Rare,#CIBR-EN077,$15.00,$25.93,58,60
Sunavalon Dryas,Ultra Rare,#GFTP-EN018,$3.49,$3.96,63,0
Sky Striker Maneuver - Afterburners!,Super Rare,#MP19-EN261,$5.74,$5.32,29,0
Infinite Impermanence,Premium Gold Rare,#MAGO-EN052,$10.50,$12.08,94,84
Gemini Soldier,Common / Short Print,#SDWS-EN004,$7.49,$6.77,20,0
Dark Ruler No More,Prismatic Secret Rare,#TN19-EN014,$4.50,$7.30,70,24
Chef's Special Recipe (CR),Collector's Rare,#WISU-EN040,$18.80,$19.54,45,0
Dinomorphia Therizia,Secret Rare,#BACH-EN009,$8.25,$9.52,74,0
Crystal Beast Sapphire Pegasus (UTR),Ultimate Rare,#FOTB-EN007,$42.57,$149.16,48,0
Divine Arsenal AA-ZEUS - Sky Thunder,Secret Rare,#PHRA-EN045,$18.94,$26.79,67,32
Number F0: Utopic Draco Future,Secret Rare,#BLCR-EN085,$6.75,$6.67,85,2
The Bystial Lubellion (Quarter Century Secret Rare),Quarter Century Secret Rare,#BLMR-EN103,$192.44,$212.97,20,0
Beyond the Pendulum,Secret Rare,#DIFO-EN048,$8.09,$9.63,111,1
Kashtira Unicorn,Ultra Rare,#DABL-EN013,$3.00,$4.04,182,0
Dark Armed Dragon,Ultimate Rare,#TU06-EN000,$298.59,$381.07,21,4
Herald of the Arc Light,Premium Gold Rare,#MAGO-EN028,$3.00,$3.38,65,4
"Dark Armed, the Dragon of Annihilation",Secret Rare,#BLAR-EN050,$8.99,$11.66,37,0
Rescue-ACE Turbulence (CR),Collector's Rare,#AMDE-EN007,$44.00,$39.41,18,0
Blue-Eyes White Dragon,Ultra Rare,#YAP1-EN001,$34.00,$125.11,86,18
Phoenix Wing Wind Blast (UTR),Ultimate Rare,#FET-EN053,$17.75,$110.34,63,0
"Gameciel, the Sea Turtle Kaiju",Secret Rare,#BLRR-EN075,$20.98,$26.02,40,3
Skill Drain,Ultimate Rare,#OP19-EN003,$25.99,$32.77,51,10
Runick Tip (CR),Collector's Rare,#TAMA-EN029,$60.00,$66.67,31,0
Ghost Reaper & Winter Cherries,Ultimate Rare,#OP20-EN001,$15.01,$21.69,62,0
Marincess Dive,Ultra Rare,#LED9-EN035,$6.88,$7.08,85,1
Knightmare Corruptor Iblee,Secret Rare,#BLMR-EN057,$0.95,$1.06,81,6
Rite of Aramesir (Quarter Century Secret Rare),Quarter Century Secret Rare,#BLMR-EN093,$82.44,$96.89,26,0
Divine Arsenal AA-ZEUS - Sky Thunder (Starlight Rare),Starlight Rare,#PHRA-EN045,$400.00,$455.99,28,0
Evil Twin's Trouble Sunny (Starlight Rare),Starlight Rare,#BODE-EN051,$160.00,$165.54,27,0
Underworld Goddess of the Closed World,Prismatic Secret Rare,#MP22-EN028,$2.20,$2.87,153,6
The Winged Dragon of Ra (Quarter Century Secret Rare),Quarter Century Secret Rare,#LC01-EN003,$8.84,$8.63,95,0
Live Twin Ki-sikil,Super Rare,#GEIM-EN013,$1.22,$1.91,55,0
Purrely Pretty Memory (CR),Collector's Rare,#AMDE-EN022,$60.00,$69.20,41,0
Golden Rule,Secret Rare,#BLMR-EN035,$0.75,$1.32,102,1
Effect Veiler (UTR),Ultimate Rare,#DREV-EN002,$77.95,$163.41,78,0
Scareclaw Tri-Heart,Secret Rare,#DIFO-EN049,$4.69,$7.32,119,0
Live Twin Ki-sikil Frost (Starlight Rare),Starlight Rare,#LIOV-EN017,$172.09,$177.75,20,0
Droll & Lock Bird (CR),Collector's Rare,#TAMA-EN047,$66.50,$88.58,37,0
Obelisk the Tormentor (Quarter Century Secret Rare),Quarter Century Secret Rare,#LC01-EN001,$7.29,$8.60,102,0
Royal Oppression,Rare,#LOD-091,$4.48,$11.24,120,0
Elemental Hero Air Neos,Ultra Rare,#STON-EN034,$110.98,$195.71,44,0
Forbidden Droplet,Secret Rare,#BROL-EN090,$15.00,$18.69,75,10
"Dogmatika Ecclesia, the Virtuous",Prismatic Secret Rare,#MP21-EN101,$2.99,$3.85,187,2
Miracle Fusion (UTR),Ultimate Rare,#CRV-EN039,$34.98,$124.75,34,0
Terraforming,Ultimate Rare,#OP05-EN003,$79.00,$134.30,42,12
Dark Magician (Adidas Exclusive),Prismatic Secret Rare,#ADC1-EN001,$100.49,$217.07,24,0
PSY-Framegear Delta,Rare,#HSRD-EN032,$7.45,$7.02,26,0
"Wynn the Wind Charmer, Verdant (Starlight Rare)",Starlight Rare,#RIRA-EN046,$914.69,$861.87,23,0
Dark Magician (Ghost Rare),Ghost Rare,#GFTP-EN128,$408.27,$574.08,23,0
Solemn Strike,Ultimate Rare,#OP04-EN003,$99.99,$155.03,42,2
"Nibiru, the Primal Being",Prismatic Secret Rare,#TN19-EN013,$5.00,$6.79,118,25
Elemental HERO Flame Wingman - Infernal Rage,Secret Rare,#BLMR-EN012,$1.39,$1.72,112,1
Egyptian God Slime,Ultra Rare,#LED7-EN001,$50.00,$56.70,54,0
Divine Arsenal AA-ZEUS - Sky Thunder,Ultimate Rare,#OP18-EN002,$54.98,$61.92,42,32
Blue-Eyes White Dragon,Secret Rare,#BPT-003,$1.99,$98.04,109,18
Destiny HERO - Destroyer Phoenix Enforcer,Prismatic Secret Rare,#MP22-EN209,$3.50,$4.15,134,4
PSY-Framegear Gamma (CR),Collector's Rare,#TOCH-EN036,$169.98,$237.63,26,0
Ultimate Slayer (Starlight Rare),Starlight Rare,#POTE-EN067,$128.65,$138.30,47,0
"Nibiru, the Primal Being",Secret Rare,#BROL-EN080,$6.78,$9.35,103,25
Pot of Prosperity (Starlight Rare),Starlight Rare,#BLVO-EN065,$495.96,$550.53,30,0
Lightning Storm (Starlight Rare),Starlight Rare,#IGAS-EN067,$175.00,$234.04,40,0
Summoned Skull,Secret Rare,#BPT-002,$4.00,$74.39,74,3
Dark Magician Girl,Prismatic Secret Rare,#MP22-EN268,$10.00,$11.28,126,30
Raidraptor - Arsenal Falcon,Super Rare,#ROTD-EN094,$2.40,$4.17,68,1
Blackwing - Vayu the Emblem of Honor (UTR),Ultimate Rare,#ANPR-EN005,$25.69,$85.76,54,0
Water Enchantress of the Temple (CR),Collector's Rare,#GRCR-EN026,$55.98,$62.09,44,0
"Eria the Water Charmer, Gentle (Starlight Rare)",Starlight Rare,#ETCO-EN055,$684.00,$806.32,22,0
Triple Tactics Talent (Secret Pharaoh's Rare),Secret Pharaoh’s Rare,#MAMA-EN090,$110.00,$114.82,16,0
Knightmare Corruptor Iblee,Ultra Rare,#MP19-EN011,$5.00,$8.18,112,6
Trap Dustshoot,Super Rare,#CP05-EN005,$298.99,$399.96,13,0
Dimension Shifter,Prismatic Secret Rare,#TN19-EN012,$1.99,$5.67,108,1
